X,Y,Z,Vx,Vy,Vz,Time
0.1,0.2,10.3,0.962583,1.92517,1.90828,0.1
0.196258,0.392517,10.4908,0.934895,1.86979,0.873916,0.2
0.289748,0.579496,10.5782,0.913712,1.82742,-0.125356,0.3
0.381119,0.762238,10.5657,0.895008,1.79002,-1.10226,0.4
0.47062,0.94124,10.4555,0.874559,1.74912,-2.05655,0.5
0.558076,1.11615,10.2498,0.84974,1.69948,-2.97766,0.6
0.64305,1.2861,9.95204,0.819725,1.63945,-3.85195,0.7
0.725022,1.45004,9.56684,0.784757,1.56951,-4.6671,0.8
0.803498,1.607,9.10013,0.745629,1.49126,-5.41387,0.9
0.878061,1.75612,8.55875,0.70339,1.40678,-6.08665,1
0.9484,1.8968,7.95008,0.659171,1.31834,-6.68348,1.1
1.01432,2.02863,7.28173,0.614057,1.22811,-7.20553,1.2
1.07572,2.15145,6.56118,0.569015,1.13803,-7.65646,1.3
1.13262,2.26525,5.79553,0.524851,1.0497,-8.04168,1.4
1.18511,2.37022,4.99136,0.482197,0.964394,-8.36762,1.5
1.23333,2.46666,4.1546,0.441515,0.88303,-8.64113,1.6
1.27748,2.55496,3.29049,0.403115,0.80623,-8.86905,1.7
1.31779,2.63558,2.40358,0.367178,0.734356,-9.05787,1.8
1.35451,2.70902,1.4978,0.333783,0.667567,-9.21353,1.9
1.38789,2.77578,0.576443,0.302929,0.605859,-9.34133,2
1.41818,2.83636,-0.35769,0.274557,0.549115,-9.44591,2.1
